Project,Promoter Name,Project Type,Project Start Date,Date of Completion,Certificate No,Certificate Date,Total,Sold,Status,District,Village,Taluk
PARADISE Phase -II,PNR HOMES PRIVATE LIMITED,Villas (Plots & Buildings),2022-01-25,2026-01-25,K-RERA/PRJ/TVM/074/2022,2022-05-04,18,19,Inprogress,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM
"CONFIDENT EBONY, THRISSUR",Confident Projects Residential,Residential (Apartment),2022-04-03,2027-03-31,K-RERA/PRJ/TSR/065/2022,2022-04-06,74,63,Inprogress,Thrissur,VILVATTOM,Thrissur
ATMOSPHERE,GALAXY BUILDERS,Mixed (Commercial & Residential),2022-04-15,2027-04-30,K-RERA/PRJ/KKD/061/2022,2022-04-06,83,83,Inprogress,Kozhikode,KASABA,Kozhikode
HiLITE BUSINESS PARK,HiLITE BUSINESS PARK PVT LTD,Shops/Office Space (Commercial),2015-04-10,2022-12-30,K-RERA/PRJ/013/2022,2022-07-18,240,0,Completed,Kozhikode,OLAVANNA,Kozhikode
TBPL VAIGAI,Thrissur Builders Private Limited,Residential (Apartment),2015-08-31,2020-12-31,K-RERA/PRJ/211/2021,2022-07-18,64,64,Completed,Thrissur,THRISSUR,Thrissur
Krishnakrupa Apartments,KRISHNAKRUPA DEVELOPERS,Residential (Apartment),2014-07-02,2022-12-25,K-RERA/PRJ/TSR/189/2022,2022-11-16,98,0,Completed,Thrissur,GURUVAYUR,Chavakkad
CAMPUS WOODS,NEST Realties India Private Limited,Residential (Apartment),2015-02-10,2022-09-30,K-RERA/PRJ/002/2022,2022-07-14,65,10,Inprogress,Ernakulam,KANAYANNUR,Kanayannur
Janani Project - Ponjasserry,Bhavanam Foundation Kerala,Residential (Apartment),2016-02-19,2022-11-05,K-RERA/PRJ/ERN/103/2022,2022-06-08,74,0,Completed,Ernakulam,ARAKAPADY,Kunnathunad
PROMINENCE,PRIMESPACE PROJECTS PVT LTD,Residential (Apartment),2022-06-01,2026-12-31,K-RERA/PRJ/KKD/111/2022,2022-07-04,74,53,Inprogress,Kozhikode,CHEVAYUR,Kozhikode
PROMENADE,PRIMESPACE PROJECTS PVT LTD,Villas (Plots & Buildings),2022-05-01,2026-12-31,K-RERA/PRJ/KKD/089/2022,2022-05-26,24,19,Inprogress,Kozhikode,VENGERI,Kozhikode
GALAXY POWDIKONAM,MIDHUN MARKOSE BUILDERS AND DEVELOPERS INDIA PVT LTD,Villas (Plots & Buildings),2013-05-07,2027-04-30,K-RERA/PRJ/TVM/213/2022,2022-12-20,83,76,Inprogress,Thiruvananthapuram,ULIYAZHATHURA,THIRUVANANTHAPRUAM
THE HAVENS,BUILDOWN DEVELOPERS PRIVATE LIMITED,Villas (Plots & Buildings),2022-01-15,2025-11-25,K-RERA/PRJ/TVM/106/2022,2022-06-15,25,24,Inprogress,Thiruvananthapuram,AYIROOPARA,THIRUVANANTHAPRUAM
V3 PRAKRITI,Vthree Homes And Infrastructure India Private Limited,Villas (Plots & Buildings),2022-02-15,2025-12-31,K-RERA/PRJ/PKD/164/2022,2022-10-12,0,10,Inprogress,Palakkad,LAKKIDIPERUR II,Ottappalam
NAKSHATRA PRAVASI,MIDHUN MARKOSE BUILDERS AND DEVELOPERS INDIA PVT LTD,Villas (Plots & Buildings),2010-01-15,2027-04-30,K-RERA/PRJ/TVM/207/2022,2022-12-16,41,39,Inprogress,Thiruvananthapuram,VILAPPIL,KATTAKADA
ASSET LAURELS,ASSET HOMES PRIVATE LIMITED,Residential (Apartment),2022-05-15,2026-05-15,K-RERA/PRJ/ERN/079/2022,2022-05-10,77,73,Inprogress,Ernakulam,KAKKANAD,Kanayannur
TABASCO INN,TABASCO HINDUSTAN INFRA DEVELOPERS PVT LTD,Mixed (Commercial & Residential),2017-04-07,2025-08-28,K-RERA/PRJ/011/2022,2022-07-18,0,0,Inprogress,Kasaragod,HOSDURG,Hosdurg
VARMA SREEKARYAM,VARMA HOMES PRIVATE LIMITED,Mixed (Commercial & Residential),2022-09-12,2027-08-31,K-RERA/PRJ/TVM/101/2022,2022-06-06,27,21,Inprogress,Thiruvananthapuram,CHERUVAKKAL,THIRUVANANTHAPRUAM
Sanroyal Clair City,SANROYAL BUILDERS AND CONTRACTORS PVT LTD,Villas (Plots & Buildings),2019-02-14,2030-04-15,K-RERA/PRJ/TVM/111/2024,2024-06-04,63,44,Inprogress,Thiruvananthapuram,VATTAPPARA,Nedumangad
TIDSO METRO HEIGHTS,THRISSUR INFRASTRUCTURE DEVELOPMENT SOLUTIONS PRIVATE LIMITED,Residential (Apartment),2017-09-23,2022-06-30,K-RERA/PRJ/207/2021,2022-07-18,53,27,Inprogress,Thrissur,VIYYUR,Thrissur
VEEYEM PENTAGON,VEEYEM DEVELOPERS AND BUILDERS PRIVATE LIMITED,Mixed (Commercial & Residential),2022-06-01,2026-12-31,K-RERA/PRJ/ERN/169/2022,2022-10-22,26,26,Inprogress,Ernakulam,KAKKANAD,Kanayannur
TRITVAM - TOWER 5,TATA REALTY AND INFRASTRUCTURE LIMITED,Residential (Apartment),2016-08-04,2019-12-31,K-RERA/PRJ/ERN/109/2022,2022-07-01,104,91,Completed,Ernakulam,ERNAKULAM,Kanayannur
VEEGALAND ELANZA,VEEGALAND DEVELOPERS PRIVATE LIMITED,Residential (Apartment),2022-09-01,2026-11-30,K-RERA/PRJ/TSR/163/2022,2022-10-12,100,37,Inprogress,Thrissur,CHIYYARAM,Thrissur
FEDERAL RESIDENCY ANNEX,Kamakshy Constrcutions,Residential (Apartment),2007-03-23,2022-04-30,K-RERA/PRJ/210/2021,2022-07-18,42,42,Completed,Thrissur,CHIYYARAM,Thrissur
ONE CITY C 2,CCJ ONE INFRA LIMITED LIABILITY PARTNERSHIP,Villas (Plots & Buildings),2022-08-01,2026-06-30,K-RERA/PRJ/KKD/108/2022,2022-06-24,31,22,Inprogress,Kozhikode,KAKKODI,Kozhikode
CORDIAL BHARATHI,CORDIAL FOUNDATION PVT LTD,Mixed (Commercial & Residential),2014-12-16,2019-10-05,K-RERA/PRJ/TVM/156/2022,2022-09-27,67,67,Completed,Thiruvananthapuram,KOWDIAR,THIRUVANANTHAPRUAM
DREAMFLOWER MELODIUM,DREAM FLOWER HOUSING PROJECTS PVT LTD,Residential (Apartment),2022-07-11,2024-07-30,K-RERA/PRJ/ERN/119/2022,2022-07-18,12,12,Completed,Ernakulam,ELAMKULAM,Kanayannur
SUNPAUL DEZIRA BLUEBERRY,Sunpaul Dezira Projects Private Limited,Mixed (Commercial & Residential),2014-01-02,2018-06-16,K-RERA/PRJ/ERN/193/2022,2022-11-26,121,121,Inprogress,Ernakulam,KAKKANAD,Kanayannur
ASSET JUBILANCE,ASSET HOMES PRIVATE LIMITED,Residential (Apartment),2022-07-15,2025-07-31,K-RERA/PRJ/ERN/128/2022,2022-08-01,24,24,Completed,Ernakulam,VAZHAKKALA,Kanayannur
"NBCC Valley View Apartment, Kochi",NBCC INDIA LIMITED,Mixed (Commercial & Residential),2015-04-28,2024-12-31,K-RERA/PRJ/ERN/138/2022,2022-08-29,319,11,Inprogress,Ernakulam,PUTHENCRUZ,Kunnathunad
THANA SQUARE,THANA SQUARE,Shops/Office Space (Commercial),2011-04-01,2014-05-31,K-RERA/PRJ/KNR/212/2022,2022-12-20,106,68,Completed,Kannur,PALLIKKUNNU,Kannur
VARMA RHYTHM,VARMA HOMES PRIVATE LIMITED,Residential (Apartment),2022-10-10,2027-09-30,K-RERA/PRJ/ERN/117/2022,2022-07-14,46,39,Inprogress,Ernakulam,NADAMA,Kanayannur
CASADEL QUEENSTOWN,CASADEL BUILDERS INDIA PRIVATE LIMITED,Residential (Apartment),2022-09-01,2027-11-01,K-RERA/PRJ/ERN/185/2022,2022-11-14,59,45,Inprogress,Ernakulam,KAKKANAD,Kanayannur
Krishna Homes Kizhekkeppat Heritage,BALARAMAN K N,Mixed (Commercial & Residential),2023-02-10,2027-12-31,K-RERA/PRJ/TSR/024/2023,2023-02-03,52,21,Inprogress,Thrissur,GURUVAYUR,Chavakkad
OMG GRANDEUR VILLAS,OMG PROPERTIES PRIVATE LIMITED,Villas (Plots & Buildings),2022-10-17,2027-10-17,K-RERA/PRJ/PKD/038/2023,2023-02-23,12,10,Inprogress,Palakkad,MARUTHUROAD,Palakkad
SFS RHYTHM,SKYLINE FOUNDATIONS AND STRUCTURES PRIVATE LIMITED,Residential (Apartment),2022-11-01,2026-07-31,K-RERA/PRJ/TVM/191/2022,2022-11-22,66,44,Completed,Thiruvananthapuram,PALLIPURAM TRIVANDRUM,THIRUVANANTHAPRUAM
ASSET CANZARA,ASSET HOMES PRIVATE LIMITED,Residential (Apartment),2022-11-01,2027-03-31,K-RERA/PRJ/TVM/152/2022,2022-09-12,96,87,Inprogress,Thiruvananthapuram,PANGAPARA,THIRUVANANTHAPRUAM
KERALAGRAMAM PROPERTIES,Kerala Gramam Properties,Residential (Apartment),2008-12-23,2017-12-20,K-RERA/PRJ/TSR/041/2023,2023-02-24,30,26,Inprogress,Thrissur,IRINGAPRAM,Chavakkad
ARTECH FUTURA,ARTECH REALTORS PRIVATE LIMITED,Residential (Apartment),2012-08-17,2015-11-04,K-RERA/PRJ/TVM/151/2022,2022-09-06,96,96,Completed,Thiruvananthapuram,KADAKAMPALLY,THIRUVANANTHAPRUAM
SKYLINE WINGS,M/s Skyline Builders,Mixed (Commercial & Residential),2022-11-01,2027-10-31,K-RERA/PRJ/KNR/155/2022,2022-09-27,68,67,Inprogress,Kannur,ELAYAVOOR,Kannur
SMS BODHI,SMS BUILDERS,Residential (Apartment),2022-10-07,2026-04-07,K-RERA/PRJ/ERN/171/2022,2022-10-26,20,14,Completed,Ernakulam,EDAPPALLY SOUTH,Kanayannur
CONFIDENT CYGNUS BLOCK B,Confident Projects Residential,Residential (Apartment),2022-11-15,2027-11-15,K-RERA/PRJ/KTM/198/2022,2022-11-29,88,49,Inprogress,Kottayam,MUTTAMBALAM,Kottayam
NTP LORDS VALLEY - Phase 6,NTP HOMES PRIVATE LIMITED,Villas (Plots & Buildings),2022-12-05,2025-12-31,K-RERA/PRJ/KTM/034/2023,2023-02-10,14,0,Inprogress,Kottayam,PERUMBAYIKKADU,Kottayam
ABAD SIGNATURE,ABAD BUILDERS PVT LTD,Residential (Apartment),2022-12-10,2026-06-30,K-RERA/PRJ/ERN/200/2022,2022-12-02,31,20,Inprogress,Ernakulam,MARADU,Kanayannur
DOWNTOWN CRESCENT,CRESCENT BUILDERS,Residential (Apartment),2023-02-01,2027-01-31,K-RERA/PRJ/KKD/199/2022,2022-11-30,58,56,Inprogress,Kozhikode,NELLIKODE,Kozhikode
DD GREEN VILLAGE,DESAI HOMES,Residential (Apartment),2023-01-02,2027-12-31,K-RERA/PRJ/ERN/025/2023,2023-02-06,133,93,Inprogress,Ernakulam,KAKKANAD,Kanayannur
Aroma High Bloom,AROMA INTERNATIONAL BUILDING CONTRACTING INDIA PVT LTD,Residential (Apartment),2015-02-27,2025-12-31,K-RERA/PRJ/TVM/035/2023,2023-02-10,102,43,Inprogress,Thiruvananthapuram,VATTIYOORKAVU,THIRUVANANTHAPRUAM
THE WOODS,SIDDHI HOMES,Villas (Plots & Buildings),2023-06-01,2027-11-20,K-RERA/PRJ/ERN/080/2023,2023-05-11,17,13,Inprogress,Ernakulam,KUMBALAM,Kanayannur
WINTER CASTLE,VAGAMON RESORTS AND APARTMENTS PRIVATE LIMITED,Residential (Apartment),2023-08-14,2026-03-31,K-RERA/PRJ/KTM/195/2023,2023-11-01,35,35,Inprogress,Kottayam,KOOTTICKAL,KANJIRAPPALLY
QUEENS GARDENIA,QUEENS HABITATS PVT LTD,Villas (Plots & Buildings),2022-12-01,2027-12-30,K-RERA/PRJ/KKD/046/2023,2023-03-10,14,0,Inprogress,Kozhikode,KOTTOOLI,Kozhikode
QUEENS PROMENADE,QUEENS HABITATS PVT LTD,Residential (Apartment),2023-01-01,2027-12-31,K-RERA/PRJ/KKD/019/2023,2023-01-30,74,6,Inprogress,Kozhikode,KACHERY,Kozhikode
SUNPAUL DEZIRA PAZHAMPILLY HERITAGE,Dezira Projects & Realtors Pvt Ltd,Residential (Apartment),2010-01-08,2021-11-30,K-RERA/PRJ/007/2022,2023-05-15,55,25,Inprogress,Ernakulam,CHERANALLUR,Kanayannur
SERENE RIVERVIEW,ABRAHAM  JOSEPH,Residential (Apartment),2012-01-01,2020-12-31,K-RERA/PRJ/PTA/007/2024,2024-01-06,99,90,Inprogress,Pathanamthitta,KAVIYOOR,Thiruvalla
THE LAURELS BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,Residential (Apartment),2022-12-23,2026-06-30,K-RERA/PRJ/TVM/004/2023,2023-01-07,99,80,Inprogress,Thiruvananthapuram,KADAKAMPALLY,THIRUVANANTHAPRUAM
VEEGALAND SYMPHONY,VEEGALAND DEVELOPERS PRIVATE LIMITED,Residential (Apartment),2023-02-01,2027-07-31,K-RERA/PRJ/KKD/037/2023,2023-02-23,56,35,Inprogress,Kozhikode,NELLIKODE,Kozhikode
CONFIDENT PIONEER,Confident Projects Residential,Residential (Apartment),2023-02-15,2028-02-15,K-RERA/PRJ/TVM/015/2023,2023-01-24,100,93,Inprogress,Thiruvananthapuram,AYIROOPARA,THIRUVANANTHAPRUAM
"TOWERS 2, 3, 4 OF NTH",DLF SOUTHERN TOWNS PRIVATE LIMITED,Residential (Apartment),2009-09-01,2017-03-15,K-RERA/PRJ/ERN/029/2023,2023-02-09,434,431,Completed,Ernakulam,KAKKANAD,Kanayannur
VICTORIA REALTORS SHISHIRAM,DHARMIC LIVING PVT LTD,Plots,2023-01-21,2027-01-31,K-RERA/PRJ/PKD/155/2023,2023-09-07,,0,Completed,Palakkad,AKATHETHARA,Palakkad
CIDBI CASSIA,CIDBI,Residential (Apartment),2023-10-01,2030-10-31,K-RERA/PRJ/TSR/043/2023,2023-03-03,100,43,Inprogress,Thrissur,Peringavu,Thrissur
HiLITE ATHENS,HiLITE Builders Pvt Ltd,Residential (Apartment),2023-03-31,2028-03-31,K-RERA/PRJ/KKD/083/2023,2023-05-17,37,25,Inprogress,Kozhikode,OLAVANNA,Kozhikode
CORDIAL DEEPAM,CORDIAL HOMES PVT LTD,Mixed (Commercial & Residential),2023-04-14,2027-10-16,K-RERA/PRJ/TVM/050/2023,2023-03-21,28,28,Inprogress,Thiruvananthapuram,SASTHAMANGALAM,THIRUVANANTHAPRUAM
ANTA - ONE KOWDIAR,ANTA BUILDERS & DEVELOPERS PVT LTD,Villas (Plots & Buildings),2023-03-01,2028-02-29,K-RERA/PRJ/TVM/099/2023,2023-06-05,23,3,Inprogress,Thiruvananthapuram,PEROORKADA,THIRUVANANTHAPRUAM
CASA CENTRAL,M/S SALPA & EXPERTS INFRA SOLUTIONS LLP,Mixed (Commercial & Residential),2018-10-18,2025-01-31,K-RERA/PRJ/PKD/088/2023,2023-05-25,59,0,Inprogress,Palakkad,SHORANUR I,Ottappalam
PRIMROSE,CUBICSPACES,Villas (Plots & Buildings),2022-06-01,2024-12-31,K-RERA/PRJ/TVM/157/2023,2023-09-07,121,88,Inprogress,Thiruvananthapuram,ULIYAZHATHURA,THIRUVANANTHAPRUAM
CONFIDENT Oakwood 2,Confident Projects Residential,Residential (Apartment),2023-04-03,2028-04-03,K-RERA/PRJ/KKD/061/2023,2023-04-04,93,93,Inprogress,Kozhikode,NELLIKODE,Kozhikode
VICTORIA REALTORS SWASTHIKA SECOND PHASE,DHARMIC LIVING PVT LTD,Plots,2023-03-15,2026-03-31,K-RERA/PRJ/PKD/060/2023,2023-04-04,,6,Completed,Palakkad,SREEKRISHNAPURAM I,Ottappalam
NATH CLOUD SCAPE,NATH BUILDERS,Residential (Apartment),2013-11-21,2019-04-27,K-RERA/PRJ/WYD/145/2023,2023-08-09,28,1,Completed,Wayanad,KUNNATHIDAVAKA,Vythiri
ASSET TAURUS IDENTITY,ASSET HOMES PRIVATE LIMITED,Residential (Apartment),2023-05-04,2027-10-30,K-RERA/PRJ/TVM/057/2023,2023-03-29,295,92,Inprogress,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM
Marina One Phase - 4,Sobha Limited,Residential (Apartment),2016-03-15,2028-06-30,K-RERA/PRJ/ERN/076/2023,2023-04-28,193,190,Inprogress,Ernakulam,ERNAKULAM,Kanayannur
MELUHA MELODY,MELUHA HOMES,Residential (Apartment),2023-01-05,2025-09-30,K-RERA/PRJ/ERN/074/2023,2023-04-26,32,9,Inprogress,Ernakulam,KAKKANAD,Kanayannur
SKYLINE MATRIX,M/s Skyline Builders,Residential (Apartment),2023-06-01,2028-05-30,K-RERA/PRJ/ERN/059/2023,2023-03-31,38,38,Inprogress,Ernakulam,KAKKANAD,Kanayannur
MEENA PAUL ALIAS MEENA MOBI,MEENA  PAUL ALIAS MOBI,Plots,2023-01-27,2028-01-26,K-RERA/PRJ/ERN/098/2023,2023-06-02,,31,Inprogress,Ernakulam,VADAVUKODE,Kunnathunad
LEVITA JASPER ENCLAVE,Levita Developers LLP,Villas (Plots & Buildings),2024-06-01,2027-05-31,K-RERA/PRJ/TVM/122/2024,2024-06-25,9,1,Inprogress,Thiruvananthapuram,KAZHAKOOTTAM,THIRUVANANTHAPRUAM
VICTORIA REALTORS NIVEDYAM SECOND PHASE,DHARMIC LIVING PVT LTD,Villas (Plots & Buildings),2023-03-31,2027-03-31,K-RERA/PRJ/PKD/063/2023,2023-04-12,17,9,Inprogress,Palakkad,AMBALAPPARA II,Ottappalam
ARTECH MARVEL,ARTECH REALTORS PRIVATE LIMITED,Residential (Apartment),2023-04-24,2028-04-20,K-RERA/PRJ/TVM/069/2023,2023-04-24,58,32,Inprogress,Thiruvananthapuram,KOWDIAR,THIRUVANANTHAPRUAM
C1,CAPKON DEVELOPERS PRIVATE LIMITED,Residential (Apartment),2023-05-05,2028-01-17,K-RERA/PRJ/KKD/065/2023,2023-04-20,56,40,Inprogress,Kozhikode,CHELAVUR,Kozhikode
CONFIDENT AVENUE,Confident Projects Residential,Residential (Apartment),2023-05-03,2028-05-03,K-RERA/PRJ/MPM/067/2023,2023-04-24,100,69,Inprogress,Malappuram,VAZHAYUR,KONDOTTY
CORDIAL DEV,CORDIAL HOMES PVT LTD,Residential (Apartment),2023-05-10,2027-11-10,K-RERA/PRJ/TVM/086/2023,2023-05-18,64,35,Inprogress,Thiruvananthapuram,KAZHAKOOTTAM,THIRUVANANTHAPRUAM
VEEGALAND GREEN CAPITOL,VEEGALAND DEVELOPERS PRIVATE LIMITED,Residential (Apartment),2023-08-01,2028-06-30,K-RERA/PRJ/TVM/130/2023,2023-07-27,88,75,Inprogress,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM
MAYURA HOMES,MAYURA HOMES AND DEVELOPERS,Villas (Plots & Buildings),2022-11-17,2027-11-16,K-RERA/PRJ/ERN/192/2023,2023-10-30,2,0,Inprogress,Ernakulam,NADAMA,Kanayannur
SKYLINE CENTRAL AVENUE,M/s Skyline Builders,Plots,2023-05-01,2024-06-30,K-RERA/PRJ/KTM/095/2023,2023-06-01,,13,Completed,Kottayam,VIJAYAPURAM,Kottayam
Lotus Keralavilasam Palace,VEDAPURI LOTUS PROPERTIES PVT LTD,Residential (Apartment),2023-07-15,2026-07-31,K-RERA/PRJ/ERN/115/2023,2023-06-30,20,20,Inprogress,Ernakulam,NADAMA,Kanayannur
GREHA GOLDEN SAPPHIRE,GREHA HOMES PVT LTD,Mixed (Commercial & Residential),2023-07-01,2026-06-30,K-RERA/PRJ/ERN/137/2023,2023-08-07,16,13,Inprogress,Ernakulam,ERNAKULAM,Kanayannur
Sophia Melrose,Joyce  George,Villas (Plots & Buildings),2022-01-20,2024-06-30,K-RERA/PRJ/ERN/114/2023,2023-06-26,4,0,Completed,Ernakulam,CHERANALLUR,Kanayannur
ABAD SUNRISE PARK,ABAD BUILDERS PVT LTD,Residential (Apartment),2023-08-01,2027-03-31,K-RERA/PRJ/ERN/124/2023,2023-07-25,45,35,Inprogress,Ernakulam,MARADU,Kanayannur
URBAN SERENITY,FYNDAY PROJECTS LLP,Villas (Plots & Buildings),2023-07-01,2026-12-31,K-RERA/PRJ/ERN/194/2023,2023-11-01,21,3,Inprogress,Ernakulam,CHERANALLUR,Kanayannur
LEVEL100 ROOTS,Level 100 Realty Pvt Ltd,Villas (Plots & Buildings),2023-07-15,2028-12-29,K-RERA/PRJ/ERN/062/2024,2024-03-20,7,7,Inprogress,Ernakulam,THEKKUMBHAGOM KANAYANNUR,Kanayannur
NATIONAL SIGNATURE TOWER 2,NATIONAL BUILDERS,Residential (Apartment),2023-03-30,2028-03-29,K-RERA/PRJ/ERN/143/2023,2023-08-08,58,29,Inprogress,Ernakulam,CHERANALLUR,Kanayannur
SANROYAL ZEONA,SANROYAL BUILDERS AND CONTRACTORS PVT LTD,Residential (Apartment),2023-06-20,2029-04-14,K-RERA/PRJ/TSR/224/2023,2023-12-05,74,37,Inprogress,Thrissur,NADATHARA,Thrissur
LOTUS SIVAGANGA,LOTUS PROPERTIES,Residential (Apartment),2023-09-01,2027-03-31,K-RERA/PRJ/ERN/134/2023,2023-08-02,22,10,Inprogress,Ernakulam,THIRUVANKULAM,Kanayannur
Mammen,C M MAMMEN,Plots,2019-01-01,2025-12-31,K-RERA/PRJ/TVM/150/2024,2024-07-25,,25,Inprogress,Thiruvananthapuram,PEROORKADA,THIRUVANANTHAPRUAM
Tulsi ViVo,TULSI BUILDERS,Residential (Apartment),2023-08-23,2028-06-15,K-RERA/PRJ/ERN/168/2023,2023-09-19,16,0,Inprogress,Ernakulam,EDAPPALLY NORTH,Kanayannur
CORDIAL ACHUTHAM,CORDIAL HOMES PVT LTD,Residential (Apartment),2023-09-01,2027-09-30,K-RERA/PRJ/TVM/152/2023,2023-09-07,39,11,Inprogress,Thiruvananthapuram,VATTIYOORKAVU,THIRUVANANTHAPRUAM
CHAKOLAS FOUNTAINHEAD,CHAKOLAS REALTORS,Residential (Apartment),2023-11-20,2027-11-19,K-RERA/PRJ/ERN/219/2023,2023-11-27,17,13,Inprogress,Ernakulam,RAMESHWARAM,Kochi
WELL N WORTH LOTUS GARDENIA,WELL N WORTH LOTUS GARDENIA,Residential (Apartment),2015-04-18,2025-04-17,K-RERA/PRJ/TSR/159/2023,2023-09-12,74,23,Inprogress,Thrissur,GURUVAYUR,Chavakkad
Kalyan A Different Story,Kalyan Developers,Residential (Apartment),2024-01-01,2028-03-24,K-RERA/PRJ/ERN/019/2024,2024-01-18,25,15,Inprogress,Ernakulam,ELAMKULAM,Kanayannur
Mansions Satvika,MANSIONS,Residential (Apartment),2024-01-24,2026-06-30,K-RERA/PRJ/TVM/029/2024,2024-02-02,19,15,Inprogress,Thiruvananthapuram,PETTAH,THIRUVANANTHAPRUAM
WESTFORT INEOS,WESTFORT REALTORS PRIVATE LIMITED,Residential (Apartment),2024-02-27,2029-02-20,K-RERA/PRJ/TSR/124/2024,2024-06-26,74,9,Inprogress,Thrissur,IRINGAPRAM,Chavakkad
THE GRAND ROSSO,PNR HOMES PRIVATE LIMITED,Residential (Apartment),2023-10-01,2026-10-30,K-RERA/PRJ/TVM/179/2023,2023-10-09,14,9,Inprogress,Thiruvananthapuram,ULOOR,THIRUVANANTHAPRUAM
ORCHARD,MARSIC PROJECTS PVT LTD,Plots,2023-10-23,2027-10-23,K-RERA/PRJ/ERN/147/2024,2024-07-23,,0,Inprogress,Ernakulam,KUNNATHUNAD,Kunnathunad
ARTECH RIO,ARTECH REALTORS PRIVATE LIMITED,Residential (Apartment),2016-08-06,2023-11-29,K-RERA/PRJ/KTM/203/2023,2023-11-08,90,12,Completed,Kottayam,CHENGALAM SOUTH,Kottayam
SHANOOR RAINBOW CITY PHASE II,SHANOOR PROJECTS AND REALTORS PVT LTD,Plots,2023-09-01,2028-10-30,K-RERA/PRJ/TVM/183/2023,2023-10-18,,3,Inprogress,Thiruvananthapuram,PANGAPARA,THIRUVANANTHAPRUAM
TRINITY PROMINENCE,TRINITY ARCADE PVT LTD,Residential (Apartment),2023-11-01,2028-12-31,K-RERA/PRJ/ERN/188/2023,2023-10-27,38,9,Inprogress,Ernakulam,EDAPPALLY SOUTH,Kanayannur
PLAZA HILLTOP APARTMENTS,PLAZA BUILDERS,Residential (Apartment),2022-02-02,2024-12-31,K-RERA/PRJ/TSR/064/2024,2024-03-22,20,0,Completed,Thrissur,KANIPAYYOOR,KUNNAMKULAM
MEXICAN BUNGALOWS -PHASE1,GREENTECH BUILDERS,Villas (Plots & Buildings),2019-12-30,2026-08-31,K-RERA/PRJ/ERN/104/2024,2024-05-24,14,14,Inprogress,Ernakulam,KUNNATHUNAD,Kunnathunad
GREENCASA VILLAS,GREENTECH BUILDERS,Villas (Plots & Buildings),2019-12-30,2025-12-31,K-RERA/PRJ/ERN/102/2024,2024-05-24,28,28,Completed,Ernakulam,KUNNATHUNAD,Kunnathunad
VICTORIA REALTORS MADHAVAM,DHARMIC LIVING PVT LTD,Villas (Plots & Buildings),2023-10-31,2028-10-31,K-RERA/PRJ/PKD/199/2023,2023-11-06,12,11,Inprogress,Palakkad,PARALI II,Palakkad
VICTORIA REALTORS HIMAM,DHARMIC LIVING PVT LTD,Villas (Plots & Buildings),2023-12-10,2028-11-30,K-RERA/PRJ/TSR/221/2023,2023-12-05,10,8,Inprogress,Thrissur,AVANNUR,Thrissur
SKYLINE ODYSSEY,M/s Skyline Builders,Residential (Apartment),2024-01-01,2028-12-31,K-RERA/PRJ/KKD/228/2023,2023-12-06,86,46,Inprogress,Kozhikode,KOTTOOLI,Kozhikode
LIKE A POETRY,iSPOTZ DEVELOPERS LLP,Plots,2023-12-15,2025-12-31,K-RERA/PRJ/TVM/239/2023,2023-12-22,,13,Completed,Thiruvananthapuram,CHERUVAKKAL,THIRUVANANTHAPRUAM
ORCHID CINNAMON,PIXEL HOMES,Residential (Apartment),2024-06-01,2027-12-30,K-RERA/PRJ/TVM/126/2024,2024-06-26,9,0,Inprogress,Thiruvananthapuram,KAZHAKOOTTAM,THIRUVANANTHAPRUAM
ASPAN CELESTA,ASPAN CELESTA LLP,Residential (Apartment),2024-01-01,2026-12-31,K-RERA/PRJ/KKD/009/2024,2024-01-08,115,108,Inprogress,Kozhikode,NELLIKODE,Kozhikode
ONE ALTITUDE,CCJ ONE ALTITUDE LLP,Residential (Apartment),2024-03-01,2028-12-01,K-RERA/PRJ/KKD/013/2024,2024-01-11,79,53,Inprogress,Kozhikode,KAKKODI,Kozhikode
Onyx,MOUNTHUGE DEVELOPERS PRIVATE LIMITED,Villas (Plots & Buildings),2018-01-03,2024-12-31,K-RERA/PRJ/TSR/103/2025,2025-08-18,10,10,Inprogress,Thrissur,PERAMANGALAM,Thrissur
CH Vaikund,Akshay S Kamath,Residential (Apartment),2024-02-01,2026-04-30,K-RERA/PRJ/ERN/055/2024,2024-03-01,20,15,Completed,Ernakulam,POONITHURA,Kanayannur
GREEN MEADOWS,AJU C MATHEW,Plots,2023-09-04,2026-03-04,K-RERA/PRJ/TSR/079/2024,2024-04-19,,0,Completed,Thrissur,MINALUR,THALAPPILLY
ASSET B RIGHT,ASSET HOMES PRIVATE LIMITED,Residential (Apartment),2024-04-15,2028-04-15,K-RERA/PRJ/TSR/050/2024,2024-02-28,43,15,Inprogress,Thrissur,OLLUR,Thrissur
FIRM,REDPORCH NEST PVT LTD,Plots,2023-10-20,2028-10-19,K-RERA/PRJ/ERN/066/2024,2024-03-26,,0,Inprogress,Ernakulam,RAYAMANGALAM,Kunnathunad
